sno,filename,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
17,025,0.006111111,0.070555556,0.005,0.062777778,0.043888889,0.080555556,0.666111111,0.007222222,0.006111111,0.051666667
18,024,0.322553897,0.007462687,0.035655058,0.581260365,0.007462687,0.009121061,0.007462687,0.007462687,0.010779436,0.010779436
19,017,0.011111111,0.235802469,0.013580247,0.013580247,0.038271605,0.028395062,0.117283951,0.433333333,0.097530864,0.011111111
20,013,0.074324324,0.395645646,0.227477477,0.006756757,0.021771772,0.014264264,0.026276276,0.008258258,0.086336336,0.138888889
21,020,0.03902663,0.005968779,0.035353535,0.063820018,0.700183655,0.010560147,0.009641873,0.004132231,0.004132231,0.1271809
22,040,0.037878788,0.053030303,0.073232323,0.064814815,0.007575758,0.007575758,0.007575758,0.189393939,0.457070707,0.101851852
23,050,0.083804143,0.008474576,0.027306968,0.202448211,0.040489642,0.076271186,0.036723164,0.053672316,0.402071563,0.06873823
24,047,0.027272727,0.023232323,0.015151515,0.009090909,0.013131313,0.083838384,0.013131313,0.009090909,0.118181818,0.687878788
25,021,0.00625,0.011805556,0.10625,0.00625,0.034027778,0.096527778,0.036805556,0.014583333,0.540972222,0.146527778
26,043,0.009259259,0.009259259,0.029835391,0.009259259,0.231481481,0.53600823,0.009259259,0.009259259,0.021604938,0.134773663
27,030,0.442411924,0.007452575,0.006097561,0.132113821,0.016937669,0.058943089,0.006097561,0.008807588,0.006097561,0.31504065
28,011,0.1375,0.0375,0.023611111,0.0125,0.015277778,0.026388889,0.0125,0.040277778,0.565277778,0.129166667
29,014,0.026019691,0.03164557,0.121659634,0.006329114,0.006329114,0.048523207,0.651898734,0.009142053,0.045710267,0.052742616
30,032,0.007352941,0.742647059,0.007352941,0.007352941,0.030228758,0.079248366,0.017156863,0.030228758,0.025326797,0.053104575
31,037,0.033052039,0.540787623,0.061181435,0.03164557,0.013361463,0.099156118,0.051336146,0.037271449,0.040084388,0.092123769
32,018,0.023809524,0.017460317,0.058730159,0.29047619,0.411111111,0.096825397,0.017460317,0.055555556,0.014285714,0.014285714
33,028,0.119385343,0.010638298,0.050827423,0.637115839,0.010638298,0.010638298,0.013002364,0.031914894,0.029550827,0.086288416
34,038,0.103864734,0.050724638,0.026570048,0.074879227,0.02173913,0.02173913,0.026570048,0.422705314,0.195652174,0.055555556
35,001,0.070048309,0.013687601,0.008856683,0.047504026,0.020128824,0.008856683,0.016908213,0.012077295,0.739935588,0.061996779
36,041,0.212050078,0.093114241,0.007042254,0.194835681,0.007042254,0.121283255,0.033646322,0.007042254,0.007042254,0.316901408
37,009,0.008928571,0.038690476,0.633928571,0.044642857,0.008928571,0.10218254,0.010912698,0.012896825,0.008928571,0.129960317
38,042,0.009090909,0.009090909,0.045454545,0.015151515,0.009090909,0.093939394,0.061616162,0.34040404,0.047474747,0.368686869
39,034,0.042372881,0.106403013,0.633709981,0.025423729,0.012241055,0.036723164,0.027306968,0.014124294,0.042372881,0.059322034
40,005,0.010416667,0.052083333,0.09375,0.038194444,0.010416667,0.021990741,0.010416667,0.584490741,0.153935185,0.024305556
41,007,0.762786596,0.023809524,0.011463845,0.104938272,0.009700176,0.007936508,0.007936508,0.007936508,0.044973545,0.018518519
42,033,0.155270655,0.015669516,0.021367521,0.015669516,0.454415954,0.02991453,0.16951567,0.012820513,0.032763533,0.092592593
43,006,0.597222222,0.035493827,0.013888889,0.091049383,0.020061728,0.016975309,0.038580247,0.029320988,0.103395062,0.054012346
44,027,0.033333333,0.029292929,0.11010101,0.023232323,0.081818182,0.009090909,0.035353535,0.445454545,0.049494949,0.182828283
45,022,0.54265873,0.010912698,0.070436508,0.064484127,0.046626984,0.056547619,0.008928571,0.08234127,0.024801587,0.092261905
46,036,0.011284722,0.481770833,0.009548611,0.082465278,0.042534722,0.172743056,0.044270833,0.047743056,0.009548611,0.098090278
47,004,0.127062706,0.006050605,0.004950495,0.015951595,0.008250825,0.063256326,0.006050605,0.013751375,0.338283828,0.416391639
48,008,0.026748971,0.00617284,0.007544582,0.177640604,0.542524005,0.011659808,0.014403292,0.014403292,0.007544582,0.191358025
49,039,0.149305556,0.010416667,0.561342593,0.010416667,0.010416667,0.010416667,0.010416667,0.15625,0.070601852,0.010416667
