sno,filename,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20
36,Script_American_Splendor.txt,0.002053961,0.002358251,0.120118673,0.001952531,0.000532508,2.54E-05,0.002053961,0.002155391,2.54E-05,0.401384522,0.000228218,0.000532508,0.001851101,2.54E-05,2.54E-05,0.000633939,2.54E-05,0.167993711,2.54E-05,0.29599858
37,Script_50-50.txt,0.001669732,0.00196012,0.139507308,2.42E-05,0.000120995,0.000411383,0.367074823,0.000508179,2.42E-05,0.366397251,2.42E-05,0.0024441,0.000120995,2.42E-05,0.000120995,2.42E-05,0.000120995,0.117921789,0.00147614,2.42E-05
38,Script_2001_A_Space_Odyssey.txt,0.048586957,0.000905797,0.237282609,0.01307971,0.005253623,0.034818841,3.62E-05,0.017572464,0.007282609,0.193804348,3.62E-05,0.016557971,3.62E-05,0.001485507,0.02423913,3.62E-05,0.000181159,0.048152174,0.350036232,0.000615942
39,Script_Argo.txt,0.474245969,0.002443813,0.127684017,0.000187986,2.09E-05,2.09E-05,0.000271535,0.002109617,0.000104436,0.141218982,0.001190576,0.005869329,2.09E-05,2.09E-05,2.09E-05,0.001107026,0.002527362,0.237885371,0.000187986,0.002861559
40,Script_Addams_Family_The.txt,0.004167618,5.71E-05,0.264272665,0.005309431,0.348766842,5.71E-05,0.000513816,0.000285453,0.003025805,0.200331126,0.002340717,0.011018497,0.001655629,0.001883992,5.71E-05,0.004395981,0.002112354,0.147579356,5.71E-05,0.002112354
41,Script_American_Werewolf_in_London.txt,3.15E-05,0.243472503,0.235147578,0.001671292,3.15E-05,3.15E-05,3.15E-05,3.15E-05,3.15E-05,0.270843845,3.15E-05,0.000157669,0.000788345,0.000409939,3.15E-05,3.15E-05,0.000536075,0.14887109,3.15E-05,0.097786327
42,Script_Aliens.txt,0.000427234,1.71E-05,0.486653223,8.54E-05,0.000427234,0.001179165,1.71E-05,0.000495591,1.71E-05,0.082797867,1.71E-05,1.71E-05,1.71E-05,0.00910862,0.000495591,1.71E-05,0.000153804,0.098520063,0.319040946,0.000495591
43,Script_2012.txt,1.88E-05,0.000169607,0.292797377,1.88E-05,1.88E-05,1.88E-05,0.000395749,0.000621891,0.001451078,0.165554802,0.001903362,0.42772878,1.88E-05,0.000621891,1.88E-05,0.000320368,1.88E-05,0.107888587,0.000395749,1.88E-05
44,Script_American_Shaolin_King_of_Kickboxers_II.txt,2.04E-05,2.04E-05,0.232905983,0.00010175,2.04E-05,0.000997151,2.04E-05,0.49037444,0.003764754,0.202055352,0.00010175,2.04E-05,0.00026455,2.04E-05,0.003194953,2.04E-05,0.00026455,0.065547416,2.04E-05,0.00026455
45,Script_25th_Hour.txt,0.002162926,0.00087802,0.175625321,0.001306322,2.14E-05,0.000364057,0.002762549,2.14E-05,2.14E-05,0.309426932,2.14E-05,0.000535378,2.14E-05,0.296406544,0.040624465,2.14E-05,0.000621038,0.168943807,0.000192736,2.14E-05
46,Script_Affliction.txt,0.000274792,0.001129702,0.149395457,0.001007572,3.05E-05,3.05E-05,3.05E-05,0.000152662,3.05E-05,0.298760381,0.000274792,0.326606009,3.05E-05,0.000641182,3.05E-05,0.000274792,3.05E-05,0.183225452,0.000152662,0.037890816
47,Script_All_About_Steve.txt,0.004380994,0.0005449,0.133500436,0.002375763,2.18E-05,0.000196164,0.001765475,2.18E-05,0.000457716,0.190780296,0.000370532,2.18E-05,2.18E-05,0.001939843,2.18E-05,2.18E-05,0.001765475,0.659917175,0.001765475,0.00010898
48,Script_All_the_Presidents_Men.txt,2.32E-05,0.000394285,0.109866407,0.002620837,0.000487058,2.32E-05,2.32E-05,0.000208739,2.32E-05,0.307565637,0.000394285,0.000301512,0.002342518,0.000115966,0.000394285,0.392174599,0.000394285,0.182600427,2.32E-05,2.32E-05
49,Script_American_Psycho.txt,0.023962451,0.007713,0.131779754,0.001674352,2.74E-05,0.034063461,0.006395477,0.007822793,0.007383619,0.313597936,0.275938735,0.001674352,0.000247036,0.000576416,0.004638779,0.001784146,0.00343105,0.175477602,2.74E-05,0.001784146
50,Script_127_Hours.txt,0.00175066,0.000373091,0.457266674,0.001406268,0.000258294,2.87E-05,0.000143497,2.87E-05,0.000143497,0.170847205,0.001980255,0.003587418,2.87E-05,0.208271151,0.000143497,2.87E-05,0.001291471,0.152020434,0.000373091,2.87E-05
51,Script_Armageddon.txt,1.76E-05,1.76E-05,0.312926486,0.000158284,0.000228632,0.437583539,1.76E-05,0.007544847,0.001002462,0.140291945,1.76E-05,0.008811115,0.000369328,0.003675695,0.001987337,0.002128034,0.000510025,0.079300035,8.79E-05,0.003323954
52,Script_Arctic_Blue.txt,0.000168754,0.00039376,0.277225681,0.002193805,0.000168754,0.439079727,1.88E-05,0.000843771,0.000693767,0.136147154,1.88E-05,0.000543764,1.88E-05,0.001293782,0.01321908,0.000543764,1.88E-05,0.127296932,1.88E-05,9.38E-05
